monomer,ontology,eta,lambda
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
D-ribose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
xylose,Sugars,0.0,0.18410718853603372
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
phenylalanine ,Amino acids,0.0,0.09375924670175888
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
